rank,Youtuber,subscribers,video views,category,Title,uploads,Country,Abbreviation,channel_type,video_views_rank,country_rank,channel_type_rank,video_views_for_the_last_30_days,lowest_monthly_earnings,highest_monthly_earnings,lowest_yearly_earnings,highest_yearly_earnings,subscribers_for_last_30_days,Date ,Latitude,Longitude
1,T-Series,"245,000,000","228,000,000,000",Music,T-Series,"20,082",India,IN,Music,1,1,1,"2,258,000,000","$564,600.00 ","$9,000,000.00 ","$6,800,000.00 ","$108,400,000.00 ","2,000,000",13-Mar-06,20.593684,78.96288
2,YouTube Movies,"170,000,000",0,Film & Animation,youtubemovies,1,United States,US,Games,"4,055,159","7,670","7,423",12,$0.00 ,$0.10 ,$0.00 ,$0.60 ,0,5-Mar-06,37.09024,-95.712891
3,MrBeast,"166,000,000","28,368,841,870",Entertainment,MrBeast,741,United States,US,Entertainment,48,1,1,"1,348,000,000","$337,000.00 ","$5,400,000.00 ","$4,000,000.00 ","$64,700,000.00 ","8,000,000",20-Feb-12,37.09024,-95.712891
4,Cocomelon - Nursery Rhymes,"162,000,000","164,000,000,000",Education,Cocomelon - Nursery Rhymes,966,United States,US,Education,2,2,1,"1,975,000,000","$493,800.00 ","$7,900,000.00 ","$5,900,000.00 ","$94,800,000.00 ","1,000,000",1-Sep-06,37.09024,-95.712891
5,SET India,"159,000,000","148,000,000,000",Shows,SET India,"116,536",India,IN,Entertainment,3,2,2,"1,824,000,000","$455,900.00 ","$7,300,000.00 ","$5,500,000.00 ","$87,500,000.00 ","1,000,000",20-Sep-06,20.593684,78.96288
6,Music,"119,000,000",0,NA,Music,0,NA,NA,Music,"4,057,944",NA,NA,NA,$0.00 ,$0.00 ,$0.00 ,$0.00 ,0,24-Sep-13,nan,nan
7,ýýý Kids Diana Show,"112,000,000","93,247,040,539",People & Blogs,ýýý Kids Diana Show,"1,111",United States,US,Entertainment,5,3,3,"731,674,000","$182,900.00 ","$2,900,000.00 ","$2,200,000.00 ","$35,100,000.00 ",0,12-May-15,37.09024,-95.712891
8,PewDiePie,"111,000,000","29,058,044,447",Gaming,PewDiePie,"4,716",Swedish,JP,Entertainment,44,1,4,"39,184,000","$9,800.00 ","$156,700.00 ","$117,600.00 ","$1,900,000.00 ",0,29-Apr-10,36.204824,138.252924
9,Like Nastya,"106,000,000","90,479,060,027",People & Blogs,Like Nastya Vlog,493,Russia,RU,People,630,5,25,"48,947,000","$12,200.00 ","$195,800.00 ","$146,800.00 ","$2,300,000.00 ","100,000",14-Jan-16,61.52401,105.318756
10,Vlad and Niki,"98,900,000","77,180,169,894",Entertainment,Vlad and Niki,574,United States,US,Entertainment,8,5,6,"580,574,000","$145,100.00 ","$2,300,000.00 ","$1,700,000.00 ","$27,900,000.00 ","600,000",23-Apr-18,37.09024,-95.712891
11,Zee Music Company,"96,700,000","57,856,289,381",Music,Zee Music Company,"8,548",India,IN,Music,12,3,2,"803,613,000","$200,900.00 ","$3,200,000.00 ","$2,400,000.00 ","$38,600,000.00 ","1,100,000",12-Mar-14,20.593684,78.96288
12,WWE,"96,000,000","77,428,473,662",Sports,WWE,"70,127",United States,US,Sports,7,6,1,"714,614,000","$178,700.00 ","$2,900,000.00 ","$2,100,000.00 ","$34,300,000.00 ","600,000",11-May-07,37.09024,-95.712891
13,Gaming,"93,600,000",0,NA,Gaming,0,NA,NA,Games,"4,057,944",NA,1,NA,$0.00 ,$0.00 ,$0.00 ,$0.00 ,0,15-Dec-13,nan,nan
14,BLACKPINK,"89,800,000","32,144,597,566",People & Blogs,BLACKPINK,543,South Korea,KR,Music,32,1,3,"498,930,000","$124,700.00 ","$2,000,000.00 ","$1,500,000.00 ","$23,900,000.00 ","700,000",29-Jun-16,35.907757,127.766922
